Processes: 333 total, 2 running, 331 sleeping, 1136 threads 
2019/10/10 14:05:50
Load Avg: 1.88, 1.65, 1.74 
CPU usage: 7.14% user, 19.64% sys, 73.21% idle 
SharedLibs: 209M resident, 64M data, 28M linkedit.
MemRegions: 49309 total, 2486M resident, 68M private, 859M shared.
PhysMem: 8049M used (1596M wired), 142M unused.
VM: 2798G vsize, 1371M framework vsize, 27215(0) swapins, 59328(0) swapouts.
Networks: packets: 361530/404M in, 153922/20M out.
Disks: 217598/3575M read, 83267/1978M written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW  POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
1046  top              0.0  00:00.14 1/1   0   14+    1796K+ 0B     0B     1045 1045 running  *0[1+]        0.00000 0.00000    0   1124+    98+    131892+  65945+   1478+    68139+   155+      15+     0      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
1045  sh               0.0  00:00.01 1     0   10+    352K+  0B     0B     1045 399  sleeping *0[1+]        0.00000 0.00000    501 427+     121+   25+      12+      154+     52+      35+       107+    0      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1037  mdworker_shared  0.0  00:00.08 3     1   63+    3156K+ 0B     0B     1037 1    sleeping *0[1+]        0.00000 0.00000    501 3840+    198+   609+     252+     1026+    682+     384+      0       2      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1036  mdworker_shared  0.0  00:00.08 3     1   63+    3128K+ 0B     0B     1036 1    sleeping *0[1+]        0.00000 0.00000    501 3837+    198+   609+     253+     963+     683+     416+      13+     2      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1035  XprotectService  0.0  00:00.04 2     2   49+    3076K+ 0B     0B     1035 1    sleeping *0[1+]        0.00000 0.00000    501 4056+    173+   162+     48+      712+     359+     323+      8+      0      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1032  AdBlock-Safari-M 0.0  00:00.16 3     1   141+   3736K+ 0B     1824K+ 1032 1    sleeping  0[60+]       0.00000 0.00000    501 6567+    315+   1347+    361+     2975+    3150+    1857+     60+     53     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1031  mdworker_shared  0.0  00:00.08 4     1   58+    3304K+ 0B     1984K+ 1031 1    sleeping *0[1+]        0.00000 0.00000    501 6345+    188+   652+     270+     1028+    870+     383+      18+     1      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1029  com.apple.WebKit 0.0  00:00.23 3     1   87+    10M+   0B     9492K+ 1029 1    sleeping *12+[38+]     0.00000 0.00000    501 11865+   1813+  1074+    311+     2903+    2941+    1777+     0       70     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1026  com.apple.WebKit 0.0  00:12.68 4     1   111+   220M+  0B     28M+   1026 1    sleeping *1670+[38+]   0.00000 0.00000    501 172701+  2614+  16351+   7448+    64396+   54473+   48182+    2124+   251    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1016  com.apple.WebKit 0.0  00:01.54 5     2   168+   55M+   0B     6680K+ 1016 1    sleeping *80+[38+]     0.00000 0.00000    501 52717+   1865+  3081+    1084+    9969+    7234+    7399+     800+    128    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1010  com.apple.audio. 0.0  00:00.01 2     2   15+    848K+  0B     692K+  1010 1    sleeping *0[1+]        0.00000 0.00000    501 2603+    138+   95+      34+      451+     210+     92+       0       0      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1006  QuickLookUIServi 0.0  00:00.48 3     1   184+   12M+   0B     2024K+ 1006 1    sleeping *0[226+]      0.00000 0.00000    501 10800+   845+   5246+    1937+    8760+    11355+   5813+     124+    119    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
994   mdworker_shared  0.0  00:00.06 3     1   53+    2884K+ 0B     2188K+ 994  1    sleeping *0[1+]        0.00000 0.00000    501 4647+    187+   600+     250+     792+     656+     261+      0       0      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
992   mdworker_shared  0.0  00:00.05 3     1   53+    2904K+ 0B     2848K+ 992  1    sleeping *0[1+]        0.00000 0.00000    501 4584+    187+   578+     243+     745+     627+     282+      13+     1      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
989   AssetCacheManage 0.0  00:00.02 2     2   26+    2196K+ 0B     2060K+ 989  1    sleeping *0[1+]        0.00000 0.00000    0   1964+    132+   76+      30+      456+     174+     128+      3+      0      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
988   Activity Monitor 0.0  00:04.66 3     1   308+   45M+   0B     20M+   988  1    sleeping  0[118+]      0.00000 0.00000    501 59984+   346+   39806+   9718+    105204+  80224+   39129+    476+    303    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
986   com.apple.WebKit 0.0  00:07.60 4     1   112+   112M+  0B     11M+   986  1    sleeping *4866+[40+]   0.00000 0.00000    501 86484+   1880+  35547+   14938+   57397+   89403+   52183+    185+    550    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
